node_name,ims_entity,ip_address
(VoLTE) STG-ECAB005,P-CSCF,10.0.101.77
(VoLTE) STG-ECAB005,P-CSCF,10.0.101.78
(VoLTE) STG-ECAB005,P-CSCF,10.0.101.79
(VoLTE) STG-ECAB005,P-CSCF,10.0.101.92
(VoLTE) STG-ECAB005,P-CSCF,10.0.101.93
(VoLTE) STG-ECAB005,P-CSCF,10.0.101.94
TA1D_I-BCF01,I-BCF,10.0.109.196
TA1D_I-BCF01,I-BCF,10.0.109.197
(VoLTE) FFM-EGAB001,A-BGF,10.0.11.1
(VoLTE) FFM-EGIB012,I-BGF,10.0.11.77
(VoLTE) FFM-EGIB012,I-BGF,10.0.11.78
(VoLTE) FFM-EGAB003,A-BGF,10.0.11.8
(VoLTE) FFM-EGAB003,A-BGF,10.0.11.9
TA1E_I-BCF01,I-BCF,10.0.113.196
TA1E_I-BCF01,I-BCF,10.0.113.197
TA2D_NBG-ECIT215,P-CSCF,10.0.117.132
TA2D_NBG-ECITx15,P-CSCF,10.0.117.133
(VoLTE) FFM-EHSB001,HSS,10.0.12.1
(VoLTE) FFM-ESCB001,S-CSCF,10.0.12.100
(VoLTE) FFM-ESCB002,S-CSCF,10.0.12.101
(VoLTE) FFM-ESCB002,S-CSCF,10.0.12.102
(VoLTE) FFM-EICB001,I-CSCF,10.0.12.129
(VoLTE) FFM-EICB001,I-CSCF,2a01:598:4:4003::8
(VoLTE) FFM-EICB001,I-CSCF,2a01:598:4:4003::8