"IMS Entity","IMS Entity Call Leg","Node Name","Processing Time (s)"
"iDNS","Originating","NG-NP SLE902","0,004"
"iDNS","Originating","NG-NP SLE903","0,001"
"HSS","Originating","TA2D_HSS1","0,004"
"iDNS","Originating","TA2D_LB_iDNS","0,009"
"MTAS","Terminating","TA2D_NBG-EATT216","0,019"
"MTAS","Originating","TA2D_NBG-EATT216","0,026"
"RACS","Originating","TA2D_NBG_LISA1","0,012"
"RACS","Terminating","TA2D_NBG_LISA4","0,011"
"S-CSCF","Originating & Terminating","TA2D_S-CSCF","1,682"
"iDNS","Originating","TA2E_LB_iDNS","0,002"
"LB-MZ","Originating","TA2e LB-MZ NBG-ELRT225","0,006"
"UA","Originating","orig. UA","3,719"
"UA","Terminating","term. UA","3,483"